Date,AMZN,DPZ,BTC,NFLX
2022-03-05 00:00:00+00:00,,,39400.5859375,
2022-03-06 00:00:00+00:00,,,38419.984375,
2022-03-07 00:00:00+00:00,,,38062.0390625,
2022-03-07 05:00:00+00:00,137.4530029296875,380.1799011230469,,350.260009765625
2022-03-08 00:00:00+00:00,,,38737.26953125,
2022-03-08 05:00:00+00:00,136.01449584960938,373.6038513183594,,341.760009765625
2022-03-09 00:00:00+00:00,,,41982.92578125,
2022-03-09 05:00:00+00:00,139.2790069580078,377.4429626464844,,358.7900085449219
2022-03-10 00:00:00+00:00,,,39437.4609375,
2022-03-10 05:00:00+00:00,146.8175048828125,373.5943603515625,,356.7699890136719
2022-03-11 00:00:00+00:00,,,38794.97265625,
2022-03-11 05:00:00+00:00,145.52450561523438,367.1609191894531,,340.32000732421875
2022-03-12 00:00:00+00:00,,,38904.01171875,
2022-03-13 00:00:00+00:00,,,37849.6640625,
2022-03-14 00:00:00+00:00,,,39666.75390625,
2022-03-14 04:00:00+00:00,141.85299682617188,368.0282287597656,,331.010009765625
2022-03-15 00:00:00+00:00,,,39338.78515625,
2022-03-15 04:00:00+00:00,147.3665008544922,371.5828857421875,,343.75
2022-03-16 00:00:00+00:00,,,41143.9296875,
2022-03-16 04:00:00+00:00,153.10400390625,386.4115295410156,,357.5299987792969
2022-03-17 00:00:00+00:00,,,40951.37890625,
2022-03-17 04:00:00+00:00,157.23899841308594,390.21392822265625,,371.3999938964844
2022-03-18 00:00:00+00:00,,,41801.15625,
2022-03-18 04:00:00+00:00,161.25050354003906,396.12255859375,,380.6000061035156
2022-03-19 00:00:00+00:00,,,42190.65234375,
2022-03-20 00:00:00+00:00,,,41247.82421875,
2022-03-21 00:00:00+00:00,,,41077.99609375,
2022-03-21 04:00:00+00:00,161.4915008544922,381.2462158203125,,374.5899963378906
2022-03-22 00:00:00+00:00,,,42358.80859375,
2022-03-22 04:00:00+00:00,164.88900756835938,378.1776123046875,,382.9200134277344
2022-03-23 00:00:00+00:00,,,42892.95703125,
2022-03-23 04:00:00+00:00,163.4080047607422,375.4234313964844,,374.489990234375
2022-03-24 00:00:00+00:00,,,43960.93359375,
2022-03-24 04:00:00+00:00,163.64950561523438,374.71820068359375,,375.7099914550781
2022-03-25 00:00:00+00:00,,,44348.73046875,
2022-03-25 04:00:00+00:00,164.77349853515625,376.185791015625,,373.8500061035156
2022-03-26 00:00:00+00:00,,,44500.828125,
2022-03-27 00:00:00+00:00,,,46820.4921875,
2022-03-28 00:00:00+00:00,,,47128.00390625,
2022-03-28 04:00:00+00:00,168.99049377441406,380.31231689453125,,378.510009765625
2022-03-29 00:00:00+00:00,,,47465.73046875,
2022-03-29 04:00:00+00:00,169.31500244140625,392.64410400390625,,391.82000732421875
2022-03-30 00:00:00+00:00,,,47062.6640625,
2022-03-30 04:00:00+00:00,166.30099487304688,387.1737976074219,,381.4700012207031
2022-03-31 00:00:00+00:00,,,45538.67578125,
2022-03-31 04:00:00+00:00,162.99749755859375,387.879150390625,,374.5899963378906
2022-04-01 00:00:00+00:00,,,46281.64453125,
2022-04-01 04:00:00+00:00,163.55999755859375,378.5111389160156,,373.4700012207031
2022-04-02 00:00:00+00:00,,,45868.94921875,
2022-04-03 00:00:00+00:00,,,46453.56640625,
2022-04-04 00:00:00+00:00,,,46622.67578125,
2022-04-04 04:00:00+00:00,168.34649658203125,384.8104553222656,,391.5
2022-04-05 00:00:00+00:00,,,45555.9921875,
2022-04-05 04:00:00+00:00,164.05499267578125,372.78369140625,,380.1499938964844
2022-04-06 00:00:00+00:00,,,43206.73828125,
2022-04-06 04:00:00+00:00,158.75599670410156,372.7168884277344,,368.3500061035156
2022-04-07 00:00:00+00:00,,,43503.84765625,
2022-04-07 04:00:00+00:00,157.7845001220703,378.7207946777344,,362.1499938964844
2022-04-08 00:00:00+00:00,,,42287.6640625,
2022-04-08 04:00:00+00:00,154.4604949951172,376.2334899902344,,355.8800048828125
2022-04-09 00:00:00+00:00,,,42782.13671875,
2022-04-10 00:00:00+00:00,,,42207.671875,
2022-04-11 00:00:00+00:00,,,39521.90234375,
2022-04-11 04:00:00+00:00,151.1219940185547,369.68634033203125,,348.0
2022-04-12 00:00:00+00:00,,,40127.18359375,
2022-04-12 04:00:00+00:00,150.78750610351562,370.30584716796875,,344.1000061035156
2022-04-13 00:00:00+00:00,,,41166.73046875,
2022-04-13 04:00:00+00:00,155.54100036621094,373.72711181640625,,350.42999267578125
2022-04-14 00:00:00+00:00,,,39935.515625,
2022-04-14 04:00:00+00:00,151.7064971923828,369.0383605957031,,341.1300048828125
2022-04-15 00:00:00+00:00,,,40553.46484375,
2022-04-16 00:00:00+00:00,,,40424.484375,
2022-04-17 00:00:00+00:00,,,39716.953125,
2022-04-18 00:00:00+00:00,,,40826.21484375,
2022-04-18 04:00:00+00:00,152.78500366210938,361.65264892578125,,337.8599853515625
2022-04-19 00:00:00+00:00,,,41502.75,
2022-04-19 04:00:00+00:00,158.11549377441406,375.5568542480469,,348.6099853515625
2022-04-20 00:00:00+00:00,,,41374.37890625,
2022-04-20 04:00:00+00:00,153.9980010986328,377.8535461425781,,226.19000244140625
2022-04-21 00:00:00+00:00,,,40527.36328125,
2022-04-21 04:00:00+00:00,148.29600524902344,372.6216125488281,,218.22000122070312
2022-04-22 00:00:00+00:00,,,39740.3203125,
2022-04-22 04:00:00+00:00,144.35000610351562,361.0236511230469,,215.52000427246094
2022-04-23 00:00:00+00:00,,,39486.73046875,
2022-04-24 00:00:00+00:00,,,39469.29296875,
2022-04-25 00:00:00+00:00,,,40458.30859375,
2022-04-25 04:00:00+00:00,146.07400512695312,360.3852233886719,,209.91000366210938
2022-04-26 00:00:00+00:00,,,38117.4609375,
2022-04-26 04:00:00+00:00,139.39100646972656,352.3514099121094,,198.39999389648438
2022-04-27 00:00:00+00:00,,,39241.12109375,
2022-04-27 04:00:00+00:00,138.16700744628906,355.38189697265625,,188.5399932861328
2022-04-28 00:00:00+00:00,,,39773.828125,
2022-04-28 04:00:00+00:00,144.59649658203125,337.2463684082031,,199.52000427246094
2022-04-29 00:00:00+00:00,,,38609.82421875,
2022-04-29 04:00:00+00:00,124.28150177001953,322.11273193359375,,190.36000061035156
2022-04-30 00:00:00+00:00,,,37714.875,
2022-05-01 00:00:00+00:00,,,38469.09375,
2022-05-02 00:00:00+00:00,,,38529.328125,
2022-05-02 04:00:00+00:00,124.5,334.61614990234375,,199.4600067138672
2022-05-03 00:00:00+00:00,,,37750.453125,
2022-05-03 04:00:00+00:00,124.25350189208984,327.67828369140625,,199.8699951171875
2022-05-04 00:00:00+00:00,,,39698.37109375,
2022-05-04 04:00:00+00:00,125.92849731445312,336.5983581542969,,204.00999450683594
2022-05-05 00:00:00+00:00,,,36575.140625,
2022-05-05 04:00:00+00:00,116.40699768066406,325.6293640136719,,188.32000732421875
2022-05-06 00:00:00+00:00,,,36040.921875,
2022-05-06 04:00:00+00:00,114.77249908447266,325.72467041015625,,180.97000122070312
2022-05-07 00:00:00+00:00,,,35501.953125,
2022-05-08 00:00:00+00:00,,,34059.265625,
2022-05-09 00:00:00+00:00,,,30296.953125,
2022-05-09 04:00:00+00:00,108.78900146484375,317.919677734375,,173.10000610351562
2022-05-10 00:00:00+00:00,,,31022.90625,
2022-05-10 04:00:00+00:00,108.85900115966797,319.94000244140625,,177.66000366210938
2022-05-11 00:00:00+00:00,,,28936.35546875,
2022-05-11 04:00:00+00:00,105.37200164794922,309.8477783203125,,166.3699951171875
2022-05-12 00:00:00+00:00,,,29047.751953125,
2022-05-12 04:00:00+00:00,106.93049621582031,312.43994140625,,174.30999755859375
2022-05-13 00:00:00+00:00,,,29283.103515625,
2022-05-13 04:00:00+00:00,113.05500030517578,324.9146423339844,,187.63999938964844
2022-05-14 00:00:00+00:00,,,30101.265625,
2022-05-15 00:00:00+00:00,,,31305.11328125,
2022-05-16 00:00:00+00:00,,,29862.91796875,
2022-05-16 04:00:00+00:00,110.81050109863281,320.6357116699219,,186.50999450683594
2022-05-17 00:00:00+00:00,,,30425.857421875,
2022-05-17 04:00:00+00:00,115.36849975585938,320.64520263671875,,190.55999755859375
2022-05-18 00:00:00+00:00,,,28720.271484375,
2022-05-18 04:00:00+00:00,107.11250305175781,312.6019592285156,,177.19000244140625
2022-05-19 00:00:00+00:00,,,30314.333984375,
2022-05-19 04:00:00+00:00,107.31900024414062,320.6165466308594,,183.47999572753906
2022-05-20 00:00:00+00:00,,,29200.740234375,
2022-05-20 04:00:00+00:00,107.59100341796875,325.6293640136719,,186.35000610351562
2022-05-21 00:00:00+00:00,,,29432.2265625,
2022-05-22 00:00:00+00:00,,,30323.72265625,
2022-05-23 00:00:00+00:00,,,29098.91015625,
2022-05-23 04:00:00+00:00,107.55699920654297,326.8872985839844,,187.44000244140625
2022-05-24 00:00:00+00:00,,,29655.5859375,
2022-05-24 04:00:00+00:00,104.0999984741211,326.0868225097656,,180.33999633789062
2022-05-25 00:00:00+00:00,,,29562.361328125,
2022-05-25 04:00:00+00:00,106.7750015258789,335.9979553222656,,187.8300018310547
2022-05-26 00:00:00+00:00,,,29267.224609375,
2022-05-26 04:00:00+00:00,111.07749938964844,338.8951110839844,,191.39999389648438
2022-05-27 00:00:00+00:00,,,28627.57421875,
2022-05-27 04:00:00+00:00,115.14649963378906,348.7109680175781,,195.19000244140625
2022-05-28 00:00:00+00:00,,,28814.900390625,
2022-05-29 00:00:00+00:00,,,29445.95703125,
2022-05-30 00:00:00+00:00,,,31726.390625,
2022-05-31 00:00:00+00:00,,,31792.310546875,
2022-05-31 04:00:00+00:00,120.20950317382812,346.0997009277344,,197.44000244140625
2022-06-01 00:00:00+00:00,,,29799.080078125,
2022-06-01 04:00:00+00:00,121.68399810791016,343.8887939453125,,192.91000366210938
2022-06-02 00:00:00+00:00,,,30467.48828125,
2022-06-02 04:00:00+00:00,125.51100158691406,355.34375,,205.08999633789062
2022-06-03 00:00:00+00:00,,,29704.390625,
2022-06-03 04:00:00+00:00,122.3499984741211,350.8171081542969,,198.97999572753906
2022-06-04 00:00:00+00:00,,,29832.9140625,
